year,quantity,price,renewable_share,rig_count,dollar_index,legislation_count,cumulative_legislation_count,population
1/1/1980,32759.3,36.8,6.808579,4603,87.78,0,0,4442348279
1/1/1981,28853.5,35.9,6.9891744,5624,103.825,0,0,4520917350
1/1/1982,25685.9,33,7.1939125,4787,116.9,2,2,4602701335
1/1/1983,24574.3,29.6,7.410024,3708,126.105,0,2,4684875627
1/1/1984,24632.8,28.7,7.3436337,3917,139.2341667,3,5,4766640881
1/1/1985,23275.3,27.5,7.3118963,3562,140.9508333,0,5,4850076923
1/1/1986,25692.9,14.4,7.285901,2220,111.2825,1,6,4936006502
1/1/1987,25375.8,18.4,7.152904,2097,95.9975,0,6,5024289346
1/1/1988,27070.5,15,7.115629,2164,92.93833333,0,6,5113387878
1/1/1989,28281,18.2,6.992091,1919,98.18416667,1,7,5202582534
1/1/1990,29966.3,23.8,7.178987,2052,88.8,4,11,5293395467
1/1/1991,30385.4,20.1,7.3043413,1892,89.77916667,4,15,5382536929
1/1/1992,30813.9,19.4,7.2910614,1671,86.6175,5,20,5470164577
1/1/1993,31425.8,17.1,7.659422,1711,93.40416667,10,30,5556623321
1/1/1994,32341.4,16,7.6386423,1767,90.7025,4,34,5642046034
1/1/1995,33123,17.2,7.8712,1713,83.90666667,7,41,5726736488
1/1/1996,34109,20.8,7.756304,1841,87.295,8,49,5811580202
1/1/1997,35652.9,19.1,7.8457923,2128,96.59833333,22,71,5896055962
1/1/1998,37517,12.8,7.885581,1843,98.75916667,19,90,5979726559
1/1/1999,36285.1,17.9,7.8456564,1457,100.1983333,20,110,6062288850
1/1/2000,38690.3,28.4,7.8173237,1913,109.9233333,19,129,6144321462
1/1/2001,37816.3,24.45,7.552461,2242,115.5058333,19,148,6226348086
1/1/2002,36786,25.01,7.5737157,1829,110.6075,25,173,6308140970
1/1/2003,38447.4,28.83,7.3377156,2174,95.13083333,27,200,6389462496
1/1/2004,41404.9,38.1,7.5248613,2395,87.01583333,49,249,6470924346
1/1/2005,42413.6,54.38,7.5777473,2746,87.56083333,46,295,6552700448
1/1/2006,41873.5,65.14,7.718713,3043,86.09416667,48,343,6635110367
1/1/2007,42359.2,72.52,7.7561965,3116,80.44833333,92,435,6717567584
1/1/2008,41549.4,96.99,8.253646,3336,76.825,110,545,6801440971
1/1/2009,40194.9,61.51,8.572392,2304,80.48583333,149,694,6885663352
1/1/2010,40910.1,79.47,8.809362,2985,81.36,149,843,6969985525
1/1/2011,40874.3,111.26,8.991375,3465,76.1375,190,1033,7054044372
1/1/2012,41700.3,111.63,9.420794,3518,80.34166667,200,1233,7141386257
1/1/2013,40437.7,108.56,9.854327,3412,81.43333333,257,1490,7229303088
1/1/2014,39842.8,98.97,10.2270565,3578,83.035,231,1721,7317040295
1/1/2015,41062.2,52.32,10.507513,2337,96.72833333,250,1971,7403850164
1/1/2016,43791.9,43.67,10.962859,1593,97.22333333,416,2387,7490415449
1/1/2017,44386.9,54.25,11.366829,2029,95.90916667,381,2768,7576441961
1/1/2018,45570.6,71.34,11.766204,2211,93.7925,370,3138,7660371127
1/1/2019,44899.7,64.3,12.248977,2177,97.43416667,496,3634,7741774583
1/1/2020,41699.9,41.96,13.430855,1351,95.37916667,632,4266,7820205606
1/1/2021,40793.9,70.86,13.452535,1361,92.79583333,958,5224,7888305693
1/1/2022,43477.3,100.93,14.213598,1747,104.0558333,777,6001,7950946801
