year,month,price,quantity,legislation_count
2002,1,19.42,34721.3442,157
2002,2,20.28,35921.2627,157
2002,3,23.7,35227.2044,158
2002,4,25.73,35617.6253,159
2002,5,25.35,35541.8733,163
2002,6,24.08,36032.5065,164
2002,7,25.74,35097.8236,165
2002,8,26.65,36215.4323,166
2002,9,28.4,35478.5045,168
2002,10,27.54,35339.3404,169
2002,11,24.34,37332.6154,174
2002,12,28.33,36356.2,182
2003,1,31.18,36795.5685,184
2003,2,32.77,37339.2616,185
2003,3,30.61,38398.2719,188
2003,4,25,38440.6581,189
2003,5,25.86,36944.6932,190
2003,6,27.65,38140.8621,192
2003,7,28.35,37458.0311,194
2003,8,29.89,36799.122,200
2003,9,27.11,39108.7312,201
2003,10,29.61,38201.2648,202
2003,11,28.75,37927.8057,203
2003,12,29.81,39340.1457,209
2004,1,31.28,39713.9612,216
2004,2,30.86,41454.9955,216
2004,3,33.63,40318.5033,225
2004,4,33.59,40772.8884,226
2004,5,37.57,41114.5282,227
2004,6,35.18,41960.6362,227
2004,7,38.22,41346.6864,229
2004,8,42.74,45414.9981,233
2004,9,43.2,39464.6514,233
2004,10,49.78,39911.472,236
2004,11,43.11,41677.9681,237
2004,12,39.6,45990.9643,258
2005,1,44.51,40082.5733,260
2005,2,45.48,40972.2844,262
2005,3,53.1,41032.0587,266
2005,4,51.88,40111.6616,267
2005,5,48.65,41162.8003,269
2005,6,54.35,40151.3413,273
2005,7,57.52,40930.8008,274
2005,8,63.98,40458.205,279
2005,9,62.91,39641.347,281
2005,10,58.54,40594.0883,284
2005,11,55.24,41551.9704,286
2005,12,56.86,41106.0802,304
2006,1,62.99,40809.8397,308
2006,2,60.21,41186.4749,309
2006,3,62.06,41423.8997,314
2006,4,70.26,39611.895,320
2006,5,69.78,41750.6973,323
2006,6,68.56,41071.3232,328
2006,7,73.67,40765.8859,332
2006,8,73.23,41540.2808,333
2006,9,61.96,41591.4849,335
2006,10,57.81,40275.9277,336
2006,11,58.76,41273.7724,339
2006,12,62.47,39925.4232,352
2007,1,53.68,41186.7094,359
2007,2,57.56,40988.005,364
2007,3,62.05,40873.907,368
2007,4,67.49,41634.9941,371
2007,5,67.21,40820.6311,380
2007,6,71.05,40889.6987,390
2007,7,76.93,41630.9363,394
2007,8,70.76,42022.5632,396
2007,9,77.17,40815.5424,401
2007,10,82.34,40918.5275,406
2007,11,92.41,41005.3985,413
2007,12,90.93,42098.1799,444
2008,1,92.18,42043.8956,452
2008,2,94.99,40767.3895,456
2008,3,103.64,42021.8454,460
2008,4,109.07,41620.303,467
2008,5,122.8,40983.6568,477
2008,6,132.32,41175.03,492
2008,7,132.72,41700.38,497
2008,8,113.24,41819.4565,502
2008,9,97.23,39529.5356,504
2008,10,71.58,41465.2684,513
2008,11,52.45,40062.4761,517
2008,12,39.95,40182.9929,554
2009,1,43.44,39828.8374,562
2009,2,43.32,39274.2064,573
2009,3,46.54,39442.0605,579
2009,4,50.18,39495.8664,589
2009,5,57.3,38618.7535,599
2009,6,68.61,39965.5573,610
2009,7,64.44,39816.2677,618
2009,8,72.51,39159.613,625
2009,9,67.65,39727.7965,635
2009,10,72.77,38353.3476,640
2009,11,76.66,38870.0029,648
2009,12,74.46,38797.8113,703
2010,1,76.17,38631.9478,715
2010,2,73.75,39897.6899,716
2010,3,78.83,39411.0814,722
2010,4,84.82,41736.2179,731
2010,5,75.95,39116.6582,739
2010,6,74.76,42571.0822,752
2010,7,75.58,42178.4478,759
2010,8,77.04,40734.1422,763
2010,9,77.84,40640.8059,771
2010,10,82.67,38545.6064,783
2010,11,85.28,40257.6097,792
2010,12,91.45,40502.2201,852
2011,1,96.52,41029.0579,866
2011,2,103.72,39526.2725,876
