Unit - Thousand Barrels per day (kb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product - Crude oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANCE - Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Brazil,Brunei Darussalam,Bulgaria,Canada,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt (Arab Rep.),El Salvador,Equatorial Guinea,Estonia,Eswatini,Finland,France,Gabon,Gambia,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Haiti,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran (Islamic Rep.),Iraq,Ireland,Italy,Jamaica,Japan,Kazakhstan,Korea,Kuwait,Latvia,Libya,Lithuania,Luxembourg,North Macedonia,Malaysia,Malta,Mauritius,Mexico,Moldova,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Switzerland,Syria (Arab Rep.),Tajikistan,Thailand,Trinidad/Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Yemen
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-02,0,0,0,0,0,382.289,166.6935,0,0,0,0,0,650.6997,0,0,0,317.6129,0,0,855.9194,194.1416,1112.0158,660.2608,0,9.7097,0,0,0,148.0187,70.0677,35.3226,0,16.3935,24.9677,0,0,0,293.849,1576.4665,0,0,0,2187.2968,389.55,0,23.3871,0,0,0,0,120.5903,0,1664.669,0,0,0,58.96,1858.0439,22.6774,4074.8968,61.4613,2403.0955,0,0,0,0,0,0,89.4807,0,0,0,0,0,0,0,910.8703,87.8339,12.2581,0,0,17.3961,0,0,0,2.2258,70.7097,150.0645,351.6035,203.7448,0,0,0,0,813.7737,112.0781,0,107.0377,1209.6697,0,0,365.8848,104.3687,0,0,627.9744,65.2581,0,504.0677,0,0,815.5361,8708.5484,11.9032,0,0,0
Feb-02,0,0,0,10,0,502.2129,165.5357,0,0,0,0,0,598.0229,0,0,0,405.5357,0,0,927.77,194.4718,1179.0429,642.6572,0,10.6429,0,0,0,117.0182,59.92,42.4286,0,19.1871,28.1786,0,0,0,182.6707,1808.2507,0,0,0,2188.7014,393.4875,0,13.1429,0,0,0,0,96.5989,0,1574.2846,0,0,0,64.2243,1581.3486,13.3214,4277.4954,58.9214,2154.1457,0,0,0,0,0,0,175.4443,0,0,0,0,0,0,0,1082.65,108.2018,27.5,0,0,6.42,0,0,0,1.6786,67.5714,166.1429,340.845,222.9425,0,0,0,0,769.8474,109.4264,0,382.6314,1197.9032,0,0,500.8968,99.7582,0,0,731.8224,77.75,0,509.5125,0,0,1230.6357,8753.3571,49.1071,0,0,0
Mar-02,0,0,0,22.4839,0,352.809,170.8065,0,0,0,0,0,604.8155,0,0,0,354.7742,0,0,870.5923,190.7594,1268.1861,702.2559,14,10.0323,0,0,0,105.6939,76.5913,20.3871,0,17.5645,12.5806,0,0,0,196.6126,1405.3677,0,0,0,2116.1161,310.5968,0,23.5806,0,0,0,0,93.6348,0,1718.3987,0,0,0,59.1977,1344.7432,22.4516,4444.3477,62.4032,2442.3229,0,0,0,0,0,0,168.613,0,0,0,0,0,0,0,1092.0026,88.8235,12.6129,0,0,0,0,0,0,2.2581,48.2258,274.2258,316.1358,242.7345,0,0,0,0,857.4137,92.689,0,390.729,1004.609,0,0,393.9384,99.6139,0,0,685.1566,70.2258,0,477.0387,0,0,1058.7619,8799.3871,17.9032,0,0,0
Apr-02,0,0,0,0,0,348.3553,117.75,0,0,0,0,0,686.3927,0,0,0,449.8667,0,0,828.3747,179.876,1583.56,711.6032,16.0667,8.2,0,0,0,94.557,73.6517,38.6667,0,14.036,13.5667,0,0,0,195.305,1550.6853,0,0,0,2174.6853,392.49,0,12.2,0,0,0,0,88.693,0,1498.0753,0,0,0,81.3157,1585.344,23.4,3884.9727,27.4967,2015.2037,0,0,0,0,0,0,127.0533,0,0,0,0,0,0,0,767.03,114.283,25.2333,0,0,10.9853,0,0,0,0.7667,70.4667,280.7333,263.3913,307.8203,0,0,0,0,892.2577,95.5343,0,520.6143,1061.667,0,0,346.1443,92.862,0,0,791.5104,71.1,0,384.16,0,0,1364.4887,9300.8,34.3333,0,0,0
May-02,0,6,0,0,0,379.4361,166.4516,0,0,0,0,0,683.7458,0,0,0,492.5484,0,0,770.211,177.4558,1310.5161,1019.6012,0,0,0,0,0,125.3194,69.3429,37.4194,0,21.5458,26.6129,0,0,0,275.5429,1880.6419,0,0,0,2029.2516,312.7306,0,11.9032,0,0,0,0,88.4329,0,1658.25,0,0,0,72.0358,1472.9497,22.2258,3439.4126,55.1032,2090.2271,0,0,0,0,0,0,128.6297,0,0,0,0,0,0,0,965.8019,76.2052,11.1935,0,0,19.5706,0,0,0,1.5161,66.3548,253.2903,352.3129,204.9335,0,0,0,0,593.2466,115.6248,0,681.8497,1051.171,0,0,253.4329,104.8442,0,0,828.6054,90.1613,0,449.2984,0,0,1209.5619,9323.4194,65.9355,0,0,0
Jun-02,0,6,0,0,0,371.448,184,0,0,0,0,0,706.2917,0,0,0,265.8,0,0,876.9893,180.342,1554.28,799.8608,0,9.2333,0,0,0,128.275,57.4233,13.4333,0,6.292,14.2667,0,0,0,146.9087,1681.9813,0,0,0,2042.788,334.18,0,24.2333,0,0,0,0,88.9373,0,1601.7467,0,0,0,59.4513,1490.1547,24.1,3604.667,38.9333,2257.431,0,0,0,0,0,0,62.6909,0,0,0,0,0,0,0,938.5413,105.079,13.1,0,0,5.7423,0,0,0,2.3333,83.9333,282.6667,340.6007,279.323,0,0,0,0,1017.9655,114.5923,0,409.1557,1144.773,0,0,449.57,111.5327,0,0,699.8541,94.4667,0,504.21,0,0,1456.728,9323.9333,22.2667,0,0,0
Jul-02,0,6,0,0,0,355.8997,173.7097,0,0,0,0,0,689.2139,0,0,0,357.0968,0,0,810.2703,190.0829,1419.1355,797.0037,1.2581,8.8065,0,0,0,99.7826,91.3297,8.5161,0,0,23.2258,0,0,0,261.5161,1702.0832,0,0,0,2128.6632,380.7774,0,11.8065,0,0,0,0,115.8613,0,1657.299,0,0,0,58.009,1752.3923,35.2903,3545.921,65.9355,2025.799,0,0,0,0,0,0,186.062,0,0,0,0,0,0,0,765.2542,75.2155,12.2258,0,0,33.101,0,0,0,3.0323,90.4516,279.7419,323.7023,204.2203,0,0,0,0,728.4012,107.349,0,398.1584,1145.4706,0,0,398.4555,103.18,0,0,701.8121,86,0,441.2371,0,0,1025.1968,9184.129,32.7419,0,0,0
Aug-02,0,4,0,0,0,430.5506,173.7097,0,0,0,0,0,636.1974,0,0,0,263.5161,0,0,912.049,182.6419,1549.0065,890.356,0,18.6129,0,0,0,113.0239,96.6452,12.5161,0,0,15.4839,0,0,0,252.7197,1583.2045,0,0,0,2148.2077,416.3419,0,11.7742,0,0,0,0,115.8613,0,1934.9816,0,0,0,76.7906,1655.5252,22.5161,4040.4242,0.2355,2005.3532,0,0,0,0,0,0,108.7529,0,0,0,0,0,0,0,1070.2194,128.9055,25.6129,0,0,8.4565,0,0,0,2.2581,88.2903,226.129,352.5494,216.5829,0,0,0,0,752.7595,114.4426,0,149.1374,1108.3152,0,0,310.7287,105.5574,0,0,728.5688,106.7742,0,504.3048,0,0,976.5516,9544.3226,23.9677,0,0,0
Sep-02,0,6,0,0,0,300.696,167.5,0,0,0,0,0,713.6617,0,0,0,432.5,0,0,863.7527,176.381,1517.68,827.9663,0,10.3333,0,0,0,141.2247,38.199,0,0,0,25.9,0,0,0,200.2183,1678.0027,0,0,0,2291.3733,456.435,0,0,0,0,0,0,119.7233,0,1794.3493,0,0,0,59.9427,1628.5227,23.0333,3713.2517,58.4,1982.2843,0,0,0,0,0,0,157.2349,0,0,0,0,0,0,0,942.2113,86.4153,13.1333,0,0,0,0,0,0,2.4,122.3,307.5,396.3087,215.204,0,0,0,0,842.9967,119.9677,0,449.2467,1091.799,0,0,239.2793,53.064,0,0,804.2962,63.6667,0,555.17,0,0,992.0127,8796.9667,0,0,0,0
