Unit - Thousand Barrels per day (kb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product - Crude oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANCE - Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Brazil,Brunei Darussalam,Bulgaria,Canada,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt (Arab Rep.),El Salvador,Equatorial Guinea,Estonia,Eswatini,Finland,France,Gabon,Gambia,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Haiti,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran (Islamic Rep.),Iraq,Ireland,Italy,Jamaica,Japan,Kazakhstan,Korea,Kuwait,Latvia,Libya,Lithuania,Luxembourg,North Macedonia,Malaysia,Malta,Mauritius,Mexico,Moldova,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Switzerland,Syria (Arab Rep.),Tajikistan,Thailand,Trinidad/Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Yemen
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-10,0,5,0,0,0,490.3682,146.6104,0,240.5779,0,0,0,752.7929,0,0,0,375.0357,0,41.6239,747.0021,224.4289,4839.0429,776.6093,76.2143,13.6071,59.6089,0,0,143.9782,50.2739,38.1786,0,51.8571,13.5357,0,0,0,220.5736,1146.8246,0,0,0,1729.0546,467.7318,0,0,0,0,0,0,118.1832,0,2808.2332,201.3571,0,0,42.3775,1656.4075,23.9286,3828.4518,0,2216.7907,0,0,0,183.0214,0,0,118.8345,0,0,0,0,0,0,0,1063.6489,97.6525,13.5357,0,0,25.2686,0,0,22.75,0,87,180.7143,401.4018,261.8982,0,123.8325,52.5643,0,842.6633,106.6018,0,352.4718,877.03,0,0,480.1029,95.0204,0,0,840.995,117.75,33.7811,217.6782,0,0,1062.0696,8680.1429,0,13,0,0
Mar-10,0,7,0,0,0,420.5655,138.6035,0,238.4552,0,0,0,658.0697,0,0,0,318.6129,0,91.2703,807.6094,48.479,4972.8774,825.3894,80.9355,13.8387,29.9113,0,0,139.079,62.5261,16.8065,0,45.9019,11.6129,0,0,0,199.941,1468.2942,0,0,0,1767.849,350.6694,0,0,0,0,0,0,77.7416,0,2388.1177,257.4516,0,0,77.5039,1538.9035,22.3548,3528.5658,0,2368.3852,0,0,0,95.371,0,0,174.9026,0,0,0,0,0,0,0,1059.8535,106.5084,12.6129,0,0,3.8039,0,0,19.5806,0,118.871,240.6774,391.3232,245.5874,0,130.4902,47.4774,0,586.7481,111.0255,0,287.8187,1057.7139,0,0,466.6874,99.6139,0,0,735.8828,39.1613,0,271.5013,0,0,762.6761,9292.2581,69.6129,10,0,0
Apr-10,0,8,0,0,0,504.5993,155.9983,0,238.5423,0,0,0,615.6407,0,0,0,336.4667,0,145.867,771.3933,48.464,5165.48,935.9751,79.5667,14.3333,39.0681,0,0,162.3857,81.3157,35.7667,0,50.82,23.6667,0,0,0,133.6427,1437.3957,0,0,0,1769.7827,345.653,0,0,0,0,0,0,87.4573,0,2880.933,262.3667,0,0,60.9253,1579.1453,22.8,3685.4913,0,2380.2643,0,0,0,170.09,0,0,121.595,0,0,0,0,0,0,0,1183.622,93.1077,13.4333,0,28,3.9307,0,0,20.1667,0,86.4333,94.0667,444.411,249.3517,0,158.3555,49.06,0,784.5201,123.079,0,377.5947,1073.072,0,0,415.9137,45.2027,0,0,949.3572,56.1,0,388.6447,0,0,965.47,9740.6333,29.8,12,0,0
May-10,0,8,0,0,0,389.8968,66.5677,0,236.791,0,0,0,607.9061,0,0,0,320.5806,0,130.0484,817.3568,151.9761,4212.5419,1011.7905,73.4516,13.0968,96.9126,0,0,163.091,39.7029,31.6774,0,50.3516,11,0,0,0,155.2455,1288.5613,0,0,0,1920.2416,364.4584,0,0,0,0,0,0,123.3881,0,2742.3532,286.3226,0,0,77.7416,1353.7026,33.0645,3113.7061,0,2233.5855,0,0,0,165.7806,0,0,209.174,0,0,0,0,0,0,0,950.2545,90.3419,25.4516,0,0,3.8039,0,0,20.9355,0,96.1613,163.4839,389.8968,254.3839,0,121.7747,23.7387,0,530.5462,44.22,0,548.1213,1030.6113,0,0,412.4823,69.4206,0,0,739.9948,50.129,0,306.6871,0,0,1081.2503,9621.7742,29.129,12,0,0
Jun-10,0,8,0,0,0,498.949,55.7663,0,235.5943,0,0,0,657.1583,0,0,0,346.4333,0,135.3607,712.679,150.518,5433.88,1088.6183,64.7667,8.4,62.0639,0,0,153.0503,72.963,34.0333,0,49.61,22.7,0,0,0,231.9093,1275.2557,0,0,0,1777.1527,544.1517,0,0,0,0,0,0,146.1717,0,3075.7467,259.6667,0,0,48.1507,1767.5717,22.4333,2845.557,0,2347.5907,0,0,0,194.4233,0,0,126.8436,0,0,0,0,0,0,0,1114.344,119.8853,13.1667,0,0,3.9307,0,0,21.3667,0,72.6667,203.4,518.6023,249.5973,0,138.092,24.53,0,831.9402,113.0067,0,507.535,1091.497,0,0,387.4163,102.443,0,0,873.416,109.2667,0,371.6937,0,0,1044.0833,10146.1667,59.8667,0,0,0
Jul-10,0,7,0,15.3871,0,488.7974,154.5323,0,238.4552,0,0,0,655.4545,0,0,0,438.5484,0,130.0484,849.4519,120.4084,4486.4516,1085.8407,71.7742,10.2581,97.8697,0,0,178.5442,41.1294,16.3226,0,47.3071,10.9032,0,0,0,222.051,1366.5406,0,0,0,1995.3681,426.0335,0,0,0,0,0,0,102.229,0,3020.2735,264.8065,0,0,56.8203,1593.8219,32.7097,3340.2742,0,2298.489,0,0,0,211.4645,0,0,256.445,0,0,0,0,0,0,0,1058.4271,114.8294,25.3548,0,0,11.4116,0,0,21.6129,0,110.871,168.0645,484.0426,176.88,0,104.5858,0,0,998.6516,116.4935,0,570.9597,1170.4035,0,0,488.3219,90.1042,0,0,781.7833,63.5806,0,389.1835,0,0,953.1074,9889.9032,29.0645,29,0,0
Aug-10,0,7,0,0,0,475.7216,146.2113,0,237.0287,0,0,0,691.829,0,0,0,218,0,94.3442,896.5248,169.5639,4935.0968,653.9054,55.6452,9.1935,101.9377,0,0,168.3213,62.7639,36.2581,0,47.3071,11.6129,0,0,0,179.2574,1478.2794,0,0,0,2003.4513,397.7423,0,0,0,0,0,0,116.2558,0,2475.8445,350.9032,0,0,76.7906,1757.8639,30.129,3477.689,0,2332.2484,0,0,0,188.3871,0,0,94.9498,0,0,0,0,0,0,0,1011.3542,89.1532,12.871,0,0,2.8529,0,0,38.129,0,92.3871,182,506.3903,278.8713,0,91.2705,0,0,502.9606,113.4029,0,475.4787,1200.5968,0,0,298.8416,111.2632,0,0,823.7741,65.5161,0,351.1448,0,0,974.5042,9485.7097,30.6129,17,0,0
Sep-10,0,3,0,0,0,501.16,147.6457,0,237.5597,0,0,0,656.667,0,0,0,307.9,0,116.7913,677.5487,166.595,5682.76,745.7534,46.7667,6.5333,100.3903,0,0,162.6313,50.6073,33.7667,0,87.604,0,0,0,0,300.2047,1369.1003,0,0,0,1879.5957,402.8933,0,0,0,0,0,0,137.5733,0,2688.0847,115.0667,0,0,59.9427,1488.9857,0,3254.592,0,2537.2453,0,0,0,218.7567,0,0,151.59,0,0,0,0,0,0,0,920.7587,65.3473,11.9667,0,0,8.3527,0,0,15.5333,0,99.9333,192.6333,450.0613,201.938,0,146.5977,0,0,743.6899,124.0617,0,583.1677,875.3103,0,0,334.3523,97.0383,0,0,793.569,64.1333,0,416.405,0,0,953.678,9167.9333,39.0333,0,0,0
Oct-10,0,5,0,0,0,380.1494,165.9439,0,237.5042,0,0,0,715.3655,0,0,0,223.0645,0,93.3984,608.3816,215.7881,3870.1548,736.1563,59.871,17.2903,75.1372,0,0,150.7284,38.0387,20.1935,0,85.2465,10.3226,0,0,0,271.2635,708.2332,0,0,0,1857.9532,452.8984,0,0,0,0,0,0,123.6258,0,3146.7523,324.6129,0,0,57.5335,1580.0329,20.6129,3324.3455,0,2385.0271,0,0,0,188.6226,0,0,370.4691,0,0,0,0,0,0,0,1032.751,123.3881,12.5484,0,0,7.6077,0,0,0,0,99.4516,225.6452,488.0842,226.5681,0,53.2613,0,0,776.6759,123.6258,0,591.8719,1144.4897,0,0,401.7839,84.3984,0,0,742.8265,76.129,0,343.7748,0,0,952.3942,8489.4516,29.1613,0,0,0
