Unit - Thousand Barrels per day (kb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product - Crude oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANCE - Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Brazil,Brunei Darussalam,Bulgaria,Canada,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt (Arab Rep.),El Salvador,Equatorial Guinea,Estonia,Eswatini,Finland,France,Gabon,Gambia,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Haiti,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran (Islamic Rep.),Iraq,Ireland,Italy,Jamaica,Japan,Kazakhstan,Korea,Kuwait,Latvia,Libya,Lithuania,Luxembourg,North Macedonia,Malaysia,Malta,Mauritius,Mexico,Moldova,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Switzerland,Syria (Arab Rep.),Tajikistan,Thailand,Trinidad/Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Yemen
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,0,0,0,0,0,374.6813,160.9513,0,193.7597,0,0,217.6248,700.8632,0,0,0,157.4839,109.7609,104.7481,790.4919,171.8187,9704.9032,838.5693,0,0,39.9615,0,0,130.5203,107.9348,17.7419,0,318.5032,0,0,0,0,214.2055,558.9313,0,0,0,1687.9677,490.2239,0,0,0,0,0,0,146.2113,0,4639.5339,305.3548,0,0,73.4623,1120.9532,12.2581,2965.5929,0,2713.111,0,0,0,160.6,0,0,519.4133,0,0,0,0,0,0,0,1141.1613,160.7135,12.871,0,0,68.4697,0,0,40.0323,0,93,201.9677,497.8316,337.1181,0,130.006,0,0,645.7947,133.1355,0,307.3552,1203.6874,0,0,495.4542,61.0997,0,0.2377,940.4388,0,15.6281,638.5748,15.9287,0,769.8084,6296.1613,53.0968,0,0,0
Apr-20,0,0,0,0,0,379.3093,158.9463,0,173.932,0,0,426.9512,683.4447,0,0,0,177.2333,110.495,122.411,677.303,191.06,9864.92,791.4813,0,0,85.5543,0,0,69.7693,97.5297,0,0,199.65,0,0,0,0,228.47,529.166,0,0,0,1464.6647,482.9807,0,0,0,0,0,0,97.7753,0,4066.5203,180.1,0,0,82.0527,780.483,34.8,2993.4483,0,2742.8683,0,0,0,145.27,0,0,200.4353,0,0,0,0,0,0,0,1063.2453,23.0927,13.2667,0,0,67.3127,0,0,0,0,56.1667,109.5333,471.68,211.0277,0,62.2915,0,0,907.3701,93.8447,0,324.4243,1266.903,0,0,510.2497,57.7317,0,0.2457,883.775,0,15.38,577.808,66.0843,0,602.3747,5543.6333,68.9333,0,0,0
May-20,0,0,0,0,0,98.9006,130.9958,0,141.6942,0,0,322.5214,664.251,0,0,0,59.0968,104.0855,74.2458,604.5777,21.1955,11327.1097,672.0302,0,0,53.1225,0,0,51.8277,123.1503,0,0,259.9548,0,0,0,0,185.9142,676.8513,0,0,0,1703.421,478.3368,0,0,0,0,0,0,113.1652,0,3472.6965,145.9355,0,0,51.8277,874.6526,20.129,2094.031,0,2543.1255,0,0,0,165.7806,0,0,171.0478,0,0,0,0,0,0,0,966.6587,65.379,12.8387,0,0,38.7519,0,4.4516,41.6774,0,0,23,414.1465,50.639,0,103.8595,0,0,675.8459,124.5768,0,208.2971,886.7774,0,0,381.5758,64.6658,0,0.2377,606.6601,0,0,554.8897,41.6048,0,523.0323,6086.871,33.7097,0,0,0
Jun-20,0,0,0,0,0,106.3737,98.021,0,196.042,0,0,287.4135,461.1163,0,0,0,343.4333,108.6088,72.3227,604.0943,85.511,12975.92,766.9147,0,0,66.762,0,0,75.911,100.7233,0,0,130.438,0,0,0,0,112.5153,637.9963,0,0,0,1687.2387,522.7787,0,0,0,0,0,0,133.8883,0,3359.983,49.2,0,0,53.3097,1038.433,0,1790.91,0,2435.785,0,0,0,146,0,0,172.5464,0,0,0,0,0,0,0,714.3987,48.642,14,0,0,57.7317,0,0,22.6333,0,0,0,505.582,69.5237,0,126.5843,0,0,545.9454,116.6917,0,202.7297,987.0887,0,0,372.185,54.0467,0,0.737,967.9974,0,15.8927,405.5957,36.3587,0,569.2097,6397.3,34.3333,0,0,0
Jul-20,0,0,0,0,0,144.0716,181.6348,0,193.9974,0,0,392.2942,474.0574,0,0,0,131.8387,80.343,96.4723,665.6774,95.3797,12111.0581,684.3641,0,0,44.7473,0,0,155.2455,89.6287,16.1613,0,188.9942,0,0,0,0,246.3006,756.9703,0,0,0,1636.8532,432.6903,0,0,0,0,0,0,146.9245,0,2932.5468,239.7742,0,0,54.9184,953.1074,4.0968,2193.8826,0,2756.38,0,0,0,136.3452,0,0,349.1914,0,0,0,0,0,0,0,823.5381,0,13.871,0,0,36.6123,0,0,19.9355,0,22.9032,0,591.7397,213.9677,0,149.1316,0,0,516.1377,119.1087,0,344.5019,1078.1597,0,0,260.0897,57.7713,0,0.7132,841.225,0,15.38,736.7623,21.6345,0,711.3239,5906.0323,31.9355,0,0,0
Aug-20,0,0,0,0,0,208.7374,174.9781,0,207.311,0,0,307.5701,521.3681,0,0,0,67.6774,80.1496,92.689,594.1171,88.6152,11211.4065,614.5957,0,0,66.0441,0,0,124.339,56.8203,16.2258,0,197.6594,0,0,0,0,206.8355,707.2823,0,0,0,1690.1074,472.1555,0,0,0,0,0,0,133.3732,0,4008.0913,285.3548,0,0,55.3939,1066.5103,40.6129,2329.6332,0,2507.9397,0,0,0,164.3677,0,0,237.6015,0,0,0,0,0,0,0,932.6616,74.1755,17.3548,0,0,32.3329,0,0,38.4516,0,23.6774,0,488.0842,183.5368,0,162.4469,0,0,542.7479,119.3465,0,369.5416,1129.2742,0,0,325.7065,53.7297,0,0.951,755.8047,0,31.0081,446.4794,8.7965,0,662.8245,5432.4516,30.6774,0,0,0
Sep-20,0,0,0,0,0,185.2327,164.351,0,192.357,0,0,405.6159,488.8767,0,0,0,63.4,0,89.6703,810.9457,181.973,11829.608,695.0129,0,0,41.5408,0,0,156.7353,76.8937,16.7667,0,200.134,0,0,0,0,271.4617,804.804,0,0,0,1590.446,337.546,0,0,0,0,0,0,129.9577,0,3729.22,288.8,0,0,93.1077,1093.9537,0,2129.4387,0,2661.307,0,0,0,183.4733,0,0,132.7092,0,0,0,0,0,0,0,1004.2853,47.6593,13.7333,0,0,77.1393,0,0,0,0,45.1,133.3333,535.5533,289.1497,0,148.3488,0,0,1436.8536,111.5327,0,302.2463,1035.485,0,0,370.711,46.431,0,0.2457,748.466,0,32.298,838.2147,14.9857,0,714.89,5397.5333,25.1333,0,0,0
Oct-20,0,0,0,0,0,262.4671,174.5026,0,120.7729,0,0,413.4159,217.5339,0,0,0,71.8065,93.5385,75.6645,739.1397,162.7994,10049.6516,581.0946,0,0,21.5361,0,0,158.3361,74.1755,0,0,193.6781,0,0,0,0,215.6319,607.4306,0,0,0,1647.0761,455.2758,0,0,0,0,0,0,139.079,0,3627.7042,251.0323,0,0,55.8694,878.9319,0,2241.6687,0,2649.8716,0,0,0,184.3839,0,0,217.299,0,0,0,0,0,0,0,949.3035,121.0106,13.2581,0,0,77.9794,0,0,20.129,0,22.3871,0,577.9506,211.3526,0,141.8687,0,0,599.3474,104.3687,0,338.7235,1147.1048,0,0,235.3645,52.0655,0,0.4755,800.8745,0,15.6281,553.701,21.6345,0,741.0416,5306.2581,48.9355,0,0,0
Nov-20,0,0,0,0,0,306.592,112.024,0,156.7353,0,0,424.0084,429.1797,0,0,0,154.6,113.2208,106.0407,785.1507,133.276,11067.84,710.7278,0,0,0,0,0,156.244,137.3277,0,0,101.156,0,0,0,0,146.9087,846.813,0,0,0,1667.5853,416.6507,0,0,0,0,0,0,116.2003,0,4490.541,251.0333,0,0,60.1883,910.6863,0,2126.245,0,2317.865,0,0,0,140.6467,0,0,130.4028,0,0,0,0,0,0,0,1093.4623,67.804,0,0,0,40.2893,0,0,20.6,0,11.5,149.6,377.8353,261.1437,0,142.8452,0,0,570.9293,104.4083,0,298.2657,1026.641,0,0,416.1593,55.275,0,0,869.5157,0,0,632.5917,23.8297,0,726.682,5621.8333,8.3333,0,0,0
Dec-20,0,0,0,0,0,209.4506,101.9913,0,183.5368,0,0,407.9575,579.1394,0,0,0,108.5484,83.5943,73.7729,722.9732,175.201,9083.8839,672.0302,0,0,0,0,0,128.1429,76.5529,0,0,290.8684,0,0,0,0,185.9142,441.249,0,0,0,1589.0671,441.0113,0,0,0,0,0,0,121.0106,0,4871.0945,347.4194,0,0,56.8203,1166.8374,0,2799.1735,0,2724.0471,0,0,0,136.5806,0,0,134.5226,0,0,0,0,0,0,0,1051.0571,139.079,10.9355,0,0,76.7906,0,0,19.871,0,55.4839,80.5806,496.4052,198.2768,0,205.5402,0,0,908.4206,99.6139,0,137.3055,1071.2652,0,0,393.2252,53.2542,0,0,769.3856,0,31.0081,485.7068,22.3477,0,701.5765,5761.1935,74.9032,0,0,0
